A.X.F. STORES S.A.,ALE - COSMOS - ΘΕΣ/ΚΗ,192.168.27.3,2310-474387,COSMOTE,FORTHNET,CONNEX,VODAFONE,,IPVPN157537,194.219.126.57,4,Netviewer,,,,,,,ok,Revolution
A.X.F. STORES S.A.,ΠΑΤΡΑ ALE,192.168.16.3,2610-277791,195.97.82.201,VBC2,,VODAFONE,,IPVPN157543,195.97.82.203,2,Netviewer,,,,,,,,Safescan
A.X.F. STORES S.A.,ΕΛΕΥΣΙΝΑ,192.168.106.3,210-5561272,195.97.82.233,VBC2,CONNEX,VODAFONE,,IPVPN157556,195.97.82.235,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,KOZANH,192.168.110.3,24610-28905,195.97.82.227,VBC2,,VODAFONE,,IPVPN157541,195.97.82.228,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,ΚΑΡΔΙΤΣΑ,192.168.111.3,24410-23641,195.97.82.249,VBC2,,VODAFONE,,IPVPN157540,195.97.82.251,3,Netviewer,,,,,,,ok,Safescan
A.X.F. STORES S.A.,ΠΑΤΡΑ ATTRA,192.168.40.3,26160-07153,195.97.126.65,VBC2,,VODAFONE,,IPVPN157542,195.97.126.67,3,Netviewer,,,,,,,,Safescan
A.X.F. STORES S.A.,BAZAAR,192.168.38.3,210-2845205,,VBC2,,VODAFONE,,IPVPN157529,,4,CMS,,,,,,,ok,Qconect
A.X.F. STORES S.A.,PATISION ALE,192.168.47.3,216-8002868,,VBC2,,VODAFONE,,IPVPN157547,,,CMS,,,,,,,ok,Qconect
A.X.F. STORES S.A.,BRANDS OUTLET,192.168.62.3,213-0884484,,ONENET,,VODAFONE,,IPVPN157558,,,,,,,,,,,

